1|7|2|SELECT COD_SUBFUNCAO, NOME_SUBFUNCAO FROM SUBFUNCAO NATURAL JOIN DETALHAMENTO_FUNCAO WHERE COD_FUNCAO IN (SELECT COD_FUNCAO FROM DETALHAMENTO_FUNCAO GROUP BY COD_FUNCAO ORDER BY COUNT(*) DESC LIMIT 1)
5|3|2|SELECT COD_PROGRAMA_GOVERNO, NOME_PROGRAMA_GOVERNO FROM PROGRAMA_GOVERNO NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN DESPESA_PUBLICA NATURAL JOIN FUNCAO WHERE ANO_DESPESA = 2018 AND NOME_FUNCAO = 'Educação' GROUP BY COD_PROGRAMA_GOVERNO ORDER BY SUM(VALOR_DESPESA) DESC LIMIT 3
6|4|3|SELECT NOME_FUNCAO, NOME_SUBFUNCAO, SUM(VALOR_DESPESA) FROM FUNCAO NATURAL JOIN SUBFUNCAO NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN DESPESA_PUBLICA NATURAL JOIN WHERE ANO_DESPESA = 2018 AND (MES_DESPESA = 7 OR MES_DESPESA = 8 OR MES_DESPESA = 9) AND NOME_PROGRAMA_GOVERNO = 'MAIS MEDICOS' GROUP BY COD_SUBFUNCAO
8|65|4|SELECT NOME_PROGRAMA_GOVERNO, NOME_SUBFUNCAO, COUNT(*), SUM(VALOR_DESPESA) FROM SUBFUNCAO NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN PROGRAMA_GOVERNO NATURAL JOIN DESPESA_PUBLICA GROUP BY NOME_PROGRAMA_GOVERNO, NOME_SUBFUNCAO
9|294|5|SELECT COD_DESPESA, MES_DESPESA, ANO_DESPESA, MODALIDADE_DESPESA, VALOR_DESPESA FROM DESPESA_PUBLICA NATURAL JOIN (SELECT COD_ORGAO, MAX(QTD_ORGAOS_SUBORDINADOS) FROM ORGAO)
10|56|5|SELECT COD_DESPESA, MES_DESPESA, ANO_DESPESA, MODALIDADE_DESPESA, VALOR_DESPESA FROM DESPESA_PUBLICA NATURAL JOIN (SELECT COD_ORGAO, SUM(VALOR_DESPESA) AS SOMA FROM DESPESA_PUBLICA WHERE ANO_DESPESA = 2018 GROUP BY COD_ORGAO ORDER BY SOMA DESC LIMIT 1)
12|40|2|SELECT NOME_FUNCAO, NOME_SUBFUNCAO FROM (FUNCAO NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN SUBFUNCAO)
13|42|3|SELECT DISTINCT MODALIDADE_DESPESA, VALOR_DESPESA, NOME_PROGRAMA_GOVERNO FROM PROGRAMA_GOVERNO NATURAL JOIN DESPESA_PUBLICA WHERE MODALIDADE_DESPESA = 'Reserva de Contingência'
14|1|2|SELECT DISTINCT VALOR_DESPESA, NOME_ORGAO FROM DESPESA_PUBLICA NATURAL JOIN ORGAO WHERE NOME_ORGAO = 'Ministério da Fazenda'
15|14|2|SELECT DISTINCT NOME_PROGRAMA_GOVERNO, VALOR_DESPESA FROM DESPESA_PUBLICA NATURAL JOIN ORGAO NATURAL JOIN PROGRAMA_GOVERNO WHERE NOME_ORGAO = 'Ministério da Saúde'
